,,,Solar,Solar Irradiation,kWh/m²/day,Average daily solar insolation measured at ground level (Global Horizontal Irradiance or Direct Normal).,Cornerstone data for solar PV project feasibility and site selection.,"- Global Solar Atlas
- National Meteorological Services
- Site-Specific Measurement Campaigns"
,,,,Panel Efficiency,%,Average conversion efficiency of PV panels used in the country (may vary by technology).,Impacts overall output for a given installed capacity; essential for performance modeling.,"- Manufacturers/Importers
- Project Developer Reports"
,,,,Land Area Utilization,MW/km²,How many MW of solar PV are installed per square kilometer.,"Similar to wind, indicates spatial planning and land use impact.","- Project Documentation
- National Land Use Registries"
,,,,Storage Integration,MWh,Battery storage or other energy storage capacity integrated with solar.,Critical for grid stability and maximizing solar PV penetration; also relevant for cost modeling.,"- Project Operators
- System Integrators
- Government Energy Storage Policies"
,,,,Degradation Rate,%/year,Annual performance decline in solar panels due to aging and environmental conditions.,"Affects long-term yield and financial modeling (NPV, IRR).","- Manufacturers (typical specs)
- Longitudinal Plant Monitoring Data"
,,Renewable Power Transmission & Distribution,General,Transmission Network Coverage,km,Total length of high-voltage lines in operation at the national level.,Indicates the reach and capacity of the backbone grid; crucial for connecting utility-scale renewables to load centers.,"- National Transmission Companies
- Regulatory Authorities
- Public Infrastructure Reports"
,,,,Distribution Network Coverage,km,Total length of medium/low-voltage lines distributing power to end-users.,Useful for understanding electrification penetration and potential for distributed renewable solutions.,"- National Power Utilities
- Rural Electrification Agencies"
,,,,Transmission Losses,%,Fraction of electricity lost in transmission due to technical and non-technical factors.,Helps identify efficiency issues in the grid’s backbone infrastructure; directly affects cost to end users and project feasibility.,"- Utility Statistics
- Regulatory Reports"
,,,,Distribution Losses,%,Fraction of electricity lost at the distribution level.,"High distribution losses can undermine renewable adoption, as less power reaches end consumers.","- Utility or Rural Electrification Agency
- National Energy Regulatory Commissions"
,,,,Grid Reliability Index,SAIDI/SAIFI,"SAIDI (average outage duration), SAIFI (average outage frequency).",Key reliability metrics from a consumer standpoint; important for measuring improvements due to new generation or grid upgrades.,"- Utilities
- Regulatory Performance Reports"
,,,,Smart Grid Coverage,% of grid,"Proportion of the grid network that is “smart”—integrated with real-time monitoring, IoT.","Indicates modernization level; smart grids can better accommodate renewables, demand-side management, and improved outage response.","- Utility Annual Reports
- Smart Meter/Smart Grid Implementation Programs"
,,,,Grid Integration Cost,$/MW,Average cost to integrate 1 MW of new renewable capacity into the existing grid.,Critical for project feasibility studies—especially relevant for large solar or wind projects that require new substations or lines.,"- System Operators
- Transmission/Distribution Planning Documents"
,,,,Grid Modernization Investment,$ million,Total annual investment in upgrading and expanding the transmission/distribution network.,Shows how proactive the country is in preparing the grid for future demand and higher renewable penetration.,"- Utilities
- Investment Plans/Budgets
- Public Expenditure Reports"
,,,,Interconnection Capacity,MW,Capacity of cross-border interconnectors to neighboring systems.,"Facilitates regional power trade and can improve grid stability, reduce curtailment of renewables.","- Regional Power Pools (e.g., SAPP, EAPP, WAPP)
- Transmission Operator Data"
,,,,Energy Imports,MWh,Amount of electricity imported from neighboring grids or countries.,Useful for understanding regional energy dependencies and the role of interconnectivity in balancing the grid.,"- Regional Power Pools
- Trade Statistics
- Utility Import Records"
,,,,Energy Exports,MWh,Amount of electricity exported to neighboring grids or countries.,Helps measure revenue from cross-border trade and indicates if the country is a net exporter or importer of electricity.,"- Regional Power Pools
- Utility Export Records
- Trade Statistics"
,,,,Average Transmission Tariff,$/kWh,Average cost charged at the transmission level for wheeling power across the grid.,Important for independent power producers (IPPs) or large consumers to evaluate cost of using the transmission infrastructure.,"- Transmission Operators
- Tariff Schedules from Regulators"
,,Energy Efficiency,General,Energy Intensity,MJ (or kWh) / GDP,Energy used per unit of GDP.,Often used as a macro-level efficiency indicator. Helps track whether economic growth is decoupling from energy consumption.,"- World Bank World Development Indicators
- IEA
- National Statistical Bureaus"
,,,,Energy Efficiency Standards Adoption,%,"Share of appliances, buildings, or industrial processes covered by minimum efficiency standards.",Indicates how well energy efficiency policies are implemented and the potential for future savings from regulatory improvements.,"- National Energy Regulators
- Standards Bureaus
- Policy Databases"
,,,,Energy Savings,GWh/year,Total annual energy savings achieved through efficiency measures.,Tangible measure of the impact of energy efficiency programs on a country’s energy demand.,"- Utility Demand-Side Management (DSM) Reports
- Energy Efficiency Agencies
- Project Evaluations"
,,,,Energy Efficiency Investment,$ million,Annual capital flow into energy efficiency projects/programs.,Highlights the market for efficiency solutions and the level of policy or private sector support for these initiatives.,"- Public Budget Reports
- Multilateral Agencies (e.g., GEF, GIZ)**
- Private Sector Investment Tracking"
,,,,% Buildings with Energy Efficiency Certification,%,"Share of buildings certified under recognized energy efficiency rating systems (LEED, EDGE, etc.).","Reflects the penetration of green building practices, can signal an evolving real estate market focused on efficiency.","- Green Building Councils
- National Construction Authorities"
,,,,Industry Energy Efficiency Implementation Rate,%,Proportion of industrial facilities that have adopted recognized EE measures or audits.,Key for measuring industrial sector transformation and competitiveness improvements via energy cost savings.,"- Industry Associations
- Energy Audits
- Ministry of Industry"
,,,,Energy Efficiency Program Coverage,% population,"Share of the population covered by utility or government-led EE programs (e.g., rebates, audits, outreach).",Indicates the inclusivity of EE efforts and whether marginalized populations are being reached.,"- Utilities
- Government Program Data"
,,,,Avoided Capacity Needs,MW,Estimate of how many MW of peak demand have been avoided due to EE measures.,An important planning metric for utilities; energy efficiency can defer expensive investments in new generation or transmission infrastructure.,"- Utility Resource Planning Documents
- Demand-Side Management Studies"
,,,,Return on EE Investment,% (ROI),Average rate of return on energy efficiency investments (NPV or IRR).,"Demonstrates the business case for efficiency, encouraging more stakeholders to invest.","- Project/Program Evaluations
- Financing Institution Reports"
,,Clean Cooking,General,Clean Cooking Access Rate,% of population,"Proportion of households with access to clean cooking solutions (electric, LPG, biogas, improved cookstoves).","Key national indicator for SDG 7. Directly linked to health outcomes, deforestation rates, and women’s empowerment.","- World Health Organization (WHO)
- Global Tracking Framework (World Bank, IEA)
- National Household Surveys"
,,,,Traditional Biomass Displacement,tons/year,"Estimated reduction in biomass (wood, charcoal) used for cooking due to adoption of clean cooking.","Quantifies deforestation impact and GHG reduction, plus economic savings for households if they pay for biomass.","- Household Energy Surveys
- National Forest Services
- Clean Cooking Programs"
,,,,Clean Cookstove Distribution,Units (annual or cumulative),Number of clean cookstoves distributed or sold.,"Useful measure of market penetration for improved or clean stoves, though it doesn’t guarantee continued usage or maintenance.","- National Programs (e.g., Kenya’s Clean Cooking Program)
- NGOs (e.g., Global Alliance for Clean Cookstoves, MECS)**"
,,,,Health Impact Metrics (DALYs avoided),DALYs/year,Estimates disability-adjusted life years saved from reduced indoor air pollution.,"Demonstrates direct public health benefit, useful for policy or donor justification.","- WHO
- Public Health Surveys
- Impact Assessments"
,,,,Average Cost of Clean Cooking Solutions,$/household,The upfront or annualized cost of adopting a clean cooking technology.,Helps understand affordability barriers.,"- Market Surveys
- Donor Program Data
- National Retail Price Tracking"
,,,,Clean Cooking Subsidy Amount,$ million,Total government or donor subsidies allocated to clean cooking solutions.,Reveals policy commitments and can catalyze private sector involvement.,"- National Budget
- Donor Agencies
- UN Agencies (UNDP, etc.)"
,,,,GHG Emissions Avoided,tCO₂e,Reduction in carbon emissions relative to baseline biomass or kerosene usage.,"Climate impact metric, useful for carbon crediting and national GHG inventory.","- Household Energy Models
- Carbon Accounting Methodologies (e.g., Gold Standard)"
,,,,Women’s Time Saved,hours/household/year,Estimated reduction in the time women spend collecting firewood or cooking with inefficient stoves.,"Critical gender and socioeconomic impact measure—frees women for education, income-generating activities, or other tasks.","- Time Use Surveys
- NGO Studies
- Household Surveys"
,,,,Clean Cooking Supply Chain Jobs,Number,"Jobs in the manufacturing, distribution, retail, and maintenance of clean cooking solutions.",Reflects local economic development potential from the clean cooking sector.,"- Manufacturers
- Program Implementers
- National Employment Data"
,,Energy Funding,General,Debt to GDP Ratio,%,Overall public debt as a fraction of GDP.,Impacts a country’s ability to borrow for large energy infrastructure. Investors look at macroeconomic stability.,"- IMF
- World Bank
- National Treasury"
,,,,Sovereign Credit Rating,"Rating (e.g., Fitch, S&P)",Credit rating assigned by rating agencies.,High-level risk indicator for foreign investors; affects cost of capital and project financing terms.,"- Rating Agencies (e.g., Moody’s, Fitch, S&P)"
,,,,Total Energy Sector Budget,$ million,Government’s annual budget allocation toward energy sector spending.,A proxy for political commitment; can show how reliant the sector is on external vs. public funding.,"- National Budget Statements
- Finance Ministry"
,,,,Electrification Funding Gap,$ million,Difference between required investment for universal access and currently available funds.,Highlights the shortfall in finance for achieving universal energy access; a call to action for donors and investors.,"- World Bank (SEforALL Gap Analysis)
- Government/Donor Mapping"
,,,,Public vs. Private Investment Ratio,Ratio (public: private),The ratio of public to private capital flows in the energy sector.,Indicates the balance of funding sources; a shift towards private capital can reflect a more mature or liberalized market.,"- National Investment Reports
- Multilateral Development Bank Data"
,,,,Foreign Direct Investment in Energy,$ million,Amount of direct foreign investment inflow allocated to energy sector projects.,"Shows external investor confidence, technology transfer, and can highlight policy attractiveness.","- Central Bank
- Investment Promotion Agencies"
,,,,Green Bond Issuance for Energy,$ million,Total value of green bonds issued (domestic or international) earmarked for energy projects.,Measures how the local capital market is embracing sustainable finance instruments.,"- Stock Exchanges
- Climate Bonds Initiative
- Ministry of Finance"
,,,,Concessional Finance Volume,$ million,Aggregate volume of low-interest or grant-based finance directed to the energy sector.,"Critical for early-stage or high-risk segments (e.g., off-grid solutions) and helps measure donor engagement.","- DFIs (Development Finance Institutions)
- OECD-DAC Database"
,,,,Economic Rate of Return on Energy Investments,% (ERR),"Broader measure of socio-economic returns from energy investments, factoring in public benefits.","Goes beyond financial ROI by including externalities (health, environment, productivity).","- Project Evaluations
- Government Socioeconomic Analysis"
,,,,Electrification Rate,% of population,Proportion of population with access to electricity (on-grid or off-grid).,"Foundational SDG 7 metric, used widely to gauge progress in expanding energy access.","- National Statistics Bureaus
- IEA/World Bank Global Tracking Framework"
,,,,Average Cost of Electricity (Tariff),$/kWh,Weighted average end-user electricity tariff across consumer categories.,Critical for affordability analysis and comparing cost competitiveness regionally.,"- Utility Tariff Schedules
- Regulatory Commission"
,,,,Load Shedding Frequency,"hours/month (SAIDI, SAIFI)",Hours or frequency per month consumers experience power outages (scheduled or unscheduled).,"Reflects reliability. Impacts investor confidence, especially for industries reliant on continuous power.","- Utility Outage Reports
- Consumer Surveys"
,,,,Minigrid and Off-Grid Deployments,Number of systems,Count of operational minigrids and stand-alone off-grid systems in the country.,"Indicates decentralized energy market growth, critical for rural electrification.","- Rural Electrification Agencies
- NGOs (e.g., SEforALL)**
- Microgrid Operators"
,,,,Energy Affordability Index,% of household income,Average percentage of household income spent on energy.,A social equity metric. High burdens hamper adoption of cleaner energy solutions.,"- Household Surveys
- National Statistics Offices"
,,,,Reliability of Supply,hours/day,Average hours of electricity supply per day (beyond outages).,Simplified version of SAIDI/SAIFI from a consumer perspective.,"- Utility Data
- Household Surveys"
,,,,Market Concentration Index,HHI or CR4,"Measures the degree to which the power market is dominated by a few companies (e.g., Herfindahl-Hirschman Index).","A high index might indicate barriers to competition, while a low index implies a more open and potentially efficient market.","- Regulatory Authority
- Public Company Registries"
,,,,Energy Access Equity (urban/rural access ratio),Ratio,Compares electrification or modern energy access rates in urban vs. rural areas.,"Highlights disparities in energy access, guiding equitable policy interventions.","- National Household Surveys
- Rural Electrification Data"
,,Energy Policy,General,TOU Tariff Structure,Boolean / Detailed Tariff Table,Indicates whether the country has time-of-use tariffs and what those rates are.,"Encourages load shifting and can significantly affect the economics of storage, EVs, and other flexible demand.","- Utility Tariff Schedules
- Energy Regulator
- Official Gazette"
,,,,Deemed Energy Costs in PPAs,Boolean,Whether Power Purchase Agreements include deemed energy clauses (payment for power not dispatched).,"Affects risk profile for IPPs; if “Yes,” it reduces revenue risk for producers.","- PPA Documents (where publicly available)
- Energy Regulator"
,,,,"Captive Capacity (e.g., industrial self-gen)",MW,The total self-generation capacity by industrial or commercial users.,"Indicates how many large users are effectively off-grid, which can affect utility planning and grid revenue.","- Ministry of Energy
- Industry Associations
- Regulator"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Comments,,,,,
,,1,Share of national energy mix should be in the sub-sub sectors.,,,,,
,,2,Think about whether each metric is a derived quantity or a standard quantity,,,,,
