Country,Sub-sector,Name of the Plant,,Location,Status ( Whether Operational or Not),Capacity ( in MW),Operator,Owner,Latitude,Longitude,Link
,Geothermal,Olkaria 3 geothermal power plant,,Nakuru,operating,26,Ormat Technology,Ormat Technology Inc [100%],-0.889,36.2562,https://www.gem.wiki/Olkaria_3_geothermal_power_plant
,Geothermal,Olkaria 3 geothermal power plant,,Nakuru,operating,26,Ormat Technology,Ormat Technology Inc [100%],-0.889,36.2562,https://www.gem.wiki/Olkaria_3_geothermal_power_plant
,Geothermal,Olkaria 4 geothermal power plant,,Nakuru,operating,70,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.9186,36.3338,https://www.gem.wiki/Olkaria_4_geothermal_power_plant
,Geothermal,Olkaria 4 geothermal power plant,,Nakuru,operating,70,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.9186,36.3338,https://www.gem.wiki/Olkaria_4_geothermal_power_plant
,Geothermal,Olkaria 5 geothermal power plant,,Nakuru,operating,82,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.907,36.3232,https://www.gem.wiki/Olkaria_5_geothermal_power_plant
,Geothermal,Olkaria 5 geothermal power plant,,Nakuru,operating,82,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.907,36.3232,https://www.gem.wiki/Olkaria_5_geothermal_power_plant
,Geothermal,Olkaria 6 geothermal power plant,,Nakuru,shelved - inferred 2 y,140,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.8644,36.2985,https://www.gem.wiki/Olkaria_6_geothermal_power_plant
,Geothermal,Olkaria 6 geothermal power plant,,Nakuru,shelved - inferred 2 y,420,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.8644,36.2985,https://www.gem.wiki/Olkaria_6_geothermal_power_plant
,Geothermal,Olkaria 7 geothermal power plant,,,pre-construction,80,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-0.8644,36.2985,https://www.gem.wiki/Olkaria_7_geothermal_power_plant
,Geothermal,OrPower 22 geothermal power plant,,,construction,35,,Orpower Twenty Two Ltd,-0.215054,36.0745596,https://www.gem.wiki/OrPower_22_geothermal_power_plant
,Geothermal,Paka geothermal power plant,,,pre-construction,100,Geothermal Development Company (GDC),Geothermal Development Company (GDC),1.16846,36.17395,https://www.gem.wiki/Paka_geothermal_power_plant
,Geothermal,Sosian Highland geothermal power plant,,Thome,pre-construction,50,Sosian Energy,Sosian Energy [100%],0.3009,36.6878,https://www.gem.wiki/Sosian_Highland_geothermal_power_plant
,Geothermal,Suswa geothermal power plant,,Olesharo,pre-construction,50,Geothermal Development Company (GDC),Geothermal Development Company (GDC) [100%],-1.16045,36.23814,https://www.gem.wiki/Suswa_geothermal_power_plant
,Geothermal,Suswa geothermal power plant,,Olesharo,pre-construction,100,Geothermal Development Company (GDC),Geothermal Development Company (GDC) [100%],-1.16045,36.23814,https://www.gem.wiki/Suswa_geothermal_power_plant
,Geothermal,Suswa geothermal power plant,,Olesharo,pre-construction,100,Geothermal Development Company (GDC),Geothermal Development Company (GDC) [100%],-1.16045,36.23814,https://www.gem.wiki/Suswa_geothermal_power_plant
,Geothermal,Suswa geothermal power plant,,Olesharo,announced,50,Geothermal Development Company (GDC),Geothermal Development Company (GDC),-1.16045,36.23814,https://www.gem.wiki/Suswa_geothermal_power_plant
,Geothermal,Wellhead geothermal power plant,,,pre-construction,67,,RentCo Africa Ltd,-0.87444,36.30055,https://www.gem.wiki/Wellhead_geothermal_power_plant
,Nuclear Power,Tana River nuclear power plant 1,,Kwale,pre-construction,"1,000",,Nuclear Power And Energy Agency,-2.575,40.3567,
,Nuclear Power,Tana River nuclear power plant 2,,Kwale,pre-construction,"3,000",,Nuclear Power And Energy Agency,-2.575,40.3567,
,Bioenergy,Dandora Waste-to-Energy power station,,Nairobi,pre-construction,45,,Kenya Electricity Generating Company PLC [100%],-1.2428,37.0157,https://www.gem.wiki/Dandora_Waste-to-Energy_power_station
,Bioenergy,Mumias Sugar Company power station,,Kakamega,operating,34,,Sarrai Group Ltd [100%],0.3643,34.5052,https://www.gem.wiki/Mumias_Sugar_Company_power_station
,Bioenergy,West Kenya Sugar Factory power plant,,Kakamega,cancelled - inferred 4 y,40,,,0.379686799,34.83134197,https://www.gem.wiki/West_Kenya_Sugar_Factory_power_plant
,HydroEnergy,Arror Multipurpose Dam hydroelectric plant,,,construction,60,,Kerio Valley Development Authority,0.7098,35.6288,https://www.gem.wiki/Arror_Multipurpose_Dam_hydroelectric_plant
,HydroEnergy,Gitaru hydroelectric plant,,Machakos County,operating,225,,Kenya Electricity Generating Company (KenGen) [100%],-0.7942,37.7523,https://www.gem.wiki/Gitaru_hydroelectric_plant
,HydroEnergy,High Grand Falls hydroelectric plant,,Kitui County,pre-construction,"1,000",,Government of Kenya,-0.2781,38.0758,https://www.gem.wiki/High_Grand_Falls_hydroelectric_plant
,HydroEnergy,Kamburu hydroelectric plant,,Machakos County,operating,94,,Kenya Electricity Generating Company (KenGen) [100%],-0.8064,37.6861,https://www.gem.wiki/Kamburu_hydroelectric_plant
,HydroEnergy,Karura hydroelectric plant,,Embu,pre-construction,90,,Kenya Electricity Generating Company (KenGen),-0.8113,37.865,https://www.gem.wiki/Karura_hydroelectric_plant
,HydroEnergy,Kiambere hydroelectric plant,,Kitui County,operating,168,,Kenya Electricity Generating Company (KenGen) [100%],-0.6404,37.9094,https://www.gem.wiki/Kiambere_hydroelectric_plant
,HydroEnergy,Kindaruma hydroelectric plant,,Embu,operating,72,,Kenya Electricity Generating Company (KenGen),-0.806,37.811,https://www.gem.wiki/Kindaruma_hydroelectric_plant
,HydroEnergy,Magwagwa hydroelectric plant,,Nyamira County,announced,120,,,-0.4852,35.035,https://www.gem.wiki/Magwagwa_hydroelectric_plant
,HydroEnergy,Oldorko hydroelectric plant,,Kajiado County,cancelled - inferred 4 y,90,,,-2.027,36.1174,https://www.gem.wiki/Oldorko_hydroelectric_plant
,HydroEnergy,Sondu Miriu hydroelectric plant,,Nyakach,operating,60,,Kenya Electricity Generating Company (KenGen),-0.3426,34.8521,https://www.gem.wiki/Sondu_Miriu_hydroelectric_plant
,HydroEnergy,Turkwel hydroelectric plant,,West Pokot,operating,103,,Kenya Electricity Generating Company (KenGen) [100%],1.8981,35.334,https://www.gem.wiki/Turkwel_hydroelectric_plant
,Wind Energy,Baharini Wind Power Project,,Lamu West,cancelled,90,,Elicio NV; Kenwind Holding Ltd,1.442,38.4314,https://www.gem.wiki/Baharini_Wind_Power_Project
,Wind Energy,Bubisa wind farm,,Marsabit,construction,300,,Gitson Energy,2.7053,38.087,https://www.gem.wiki/Bubisa_wind_farm
,Wind Energy,Chania Green Wind Project,,Kajiado,operating,50,,Chania Green Limited (CGEL),-2.5462,36.7916,https://www.gem.wiki/Chania_Green_Wind_Project
,Wind Energy,Devki Samburu wind farm,,Kwale,announced,60,,Devki Group,1.2737,37.0532,https://www.gem.wiki/Devki_Samburu_wind_farm
,Wind Energy,Electrawinds Bahari wind farm,,Lamu,pre-construction,50,,Electrawinds NV,-2.3897,40.6987,https://www.gem.wiki/Electrawinds_Bahari_wind_farm
,Wind Energy,Electrawinds Bahari wind farm,,Lamu,pre-construction,40,,Electrawinds NV,-2.3897,40.6987,https://www.gem.wiki/Electrawinds_Bahari_wind_farm
,Wind Energy,Esidai wind farm,,,shelved,50,,Frontier Energy II,-1.6396,36.5829,https://www.gem.wiki/Esidai_wind_farm
,Wind Energy,Kajiado wind farm,,Kajiado,cancelled - inferred 4 y,50,,Kenya Craftskills Energy International Ltd,-2.5462,36.7916,https://www.gem.wiki/Kajiado_wind_farm
,Wind Energy,Kilifi wind farm,,Kilifi,operating,36,,Mombasa Cement Ltd,-3.627,39.8518,https://www.gem.wiki/Kilifi_wind_farm
,Wind Energy,Kinangop Wind Park,,,cancelled,61,,Macquarie Green Investment Group (GIG); Old Mutual Limited (OML),0.8281,36.5554,https://www.gem.wiki/Kinangop_Wind_Park
,Wind Energy,Kipeto wind farm,,,operating,100,,Kenya Craftskills Energy International Ltd; BTE Renewables,-1.7196,36.6945,https://www.gem.wiki/Kipeto_wind_farm
,Wind Energy,Lake Turkana wind farm,,,operating,50,Lake Turkana Wind Power,KP&P Africa BV; Sandpiper Ltd; Finnfund; Anergi Turkana Investments Ltd; Blackrock Alternatives; Danish Climate Investment Fund (DCIF),2.4891,36.7932,https://www.gem.wiki/Lake_Turkana_wind_farm
,Wind Energy,Lake Turkana wind farm,,,operating,260,Lake Turkana Wind Power,KP&P Africa BV; Sandpiper Ltd; Finnfund; Anergi Turkana Investments Ltd; Blackrock Alternatives; Danish Climate Investment Fund (DCIF),2.4891,36.7932,https://www.gem.wiki/Lake_Turkana_wind_farm
,Wind Energy,Lambe Valley wind farm,,South Nyanza,cancelled - inferred 4 y,100,,Bluesea Energy,-0.665,34.7269,https://www.gem.wiki/Lambe_Valley_wind_farm
,Wind Energy,Limuru wind farm,,Kiambu,pre-construction,50,,Hydrochina Corp,-1.1159,36.6393,https://www.gem.wiki/Limuru_wind_farm
,Wind Energy,Malindi Offshore wind farm,,Kilifi,cancelled,50,,VR Holding AB,-3.5102,39.9593,https://www.gem.wiki/Malindi_Offshore_wind_farm
,Wind Energy,Marsabit (KenGen) wind farm,,Marsabit,announced,300,,Kenya Electricity Generating Company PLC,2.3326,37.9731,https://www.gem.wiki/Marsabit_(KenGen)_wind_farm
,Wind Energy,Marsabit (Sosian) wind farm,,Marsabit,announced,50,,Sosian Energy,2.5209,38.2751,https://www.gem.wiki/Marsabit_(Sosian)_wind_farm
,Wind Energy,Marsabit 1GW (KenGen) wind farm,,Marsabit,announced,"1,000",,Kenya Electricity Generating Company PLC,4.0208,36.6613,https://www.gem.wiki/Marsabit_1GW_(KenGen)_wind_farm
,Wind Energy,Meru (Bluesea Energy) wind farm,,Meru,cancelled - inferred 4 y,400,,Bluesea Energy,0.0501,37.6501,https://www.gem.wiki/Meru_(Bluesea_Energy)_wind_farm
,Wind Energy,Meru (Isiolo) wind farm,,Meru,pre-construction,80,,Windlab Africa PTY LTD (WA); Meru County Investment and Development Corporation (MCIDC),0.0501,37.6501,https://www.gem.wiki/Meru_(Isiolo)_wind_farm
,Wind Energy,Meru (Kengen) wind farm,,Meru,cancelled - inferred 4 y,100,,Kenya Electricity Generating Company PLC,0.0501,37.6501,https://www.gem.wiki/Meru_(Kengen)_wind_farm
,Wind Energy,Meru (Kengen) wind farm,,Meru,cancelled - inferred 4 y,300,,Kenya Electricity Generating Company PLC,0.0501,37.6501,https://www.gem.wiki/Meru_(Kengen)_wind_farm
,Wind Energy,National Cement Company (Kenya) wind farm,,West Pokot,pre-construction,60,,National Cement Co Ltd,1.3958,35.3375,https://www.gem.wiki/National_Cement_Company_(Kenya)_wind_farm
,Wind Energy,Ngong wind farm,,,operating,14,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-1.3803,36.638,https://www.gem.wiki/Ngong_wind_farm
,Wind Energy,Ngong wind farm,,,operating,12,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-1.3803,36.638,https://www.gem.wiki/Ngong_wind_farm
,Wind Energy,Ngong wind farm,,,operating,11,Kenya Electricity Generating Company,Kenya Electricity Generating Company PLC,-1.3803,36.638,https://www.gem.wiki/Ngong_wind_farm
,Wind Energy,Ol-Ndanyat wind farm,,Kajiado,announced,30,,China Gezhouba Group Co Ltd,-2.5462,36.7916,https://www.gem.wiki/Ol-Ndanyat_wind_farm
,Wind Energy,Prunus wind farm,,Kajiado,announced,50,,,-1.3666,36.6501,https://www.gem.wiki/Prunus_wind_farm
,Solar Energy,Cedata solar farm,,Uasin Gishu County,operating,40,,Selenkei Investment Ltd; Cedate Ltd; Frontier Investment Management ApS; Paramount Universal Bank,0.4267,35.3601,https://www.gem.wiki/Cedata_solar_farm
,Solar Energy,Garissa solar farm,,Tana River County,operating,54,,Rural Energy Authority of Kenya,-0.3326,39.6065,https://www.gem.wiki/Garissa_solar_farm
,Solar Energy,HDF Green Hydrogen Solar PV Project,,,announced,180,,,0.9668,38.124,https://www.gem.wiki/HDF_Green_Hydrogen_Solar_PV_Project
,Solar Energy,Isiolo solar farm,,Isiolo County,cancelled - inferred 4 y,40,,Greenmillenia Energy,0.367,37.5888,https://www.gem.wiki/Isiolo_solar_farm
,Solar Energy,Kabariange solar farm,,Tharaka-Nithi,operating,32,,,-0.2801,37.8101,https://www.gem.wiki/Kabariange_solar_farm
,Solar Energy,Kamburu Dam floating solar farm,,,announced,40,,Kenya Electricity Generating Company PLC,-0.8068,37.6844,https://www.gem.wiki/Kamburu_Dam_floating_solar_farm
,Solar Energy,Kesses 2 solar farm,,Uasin Gishu County,shelved - inferred 2 y,55,,Alten Energías Renovables,0.4129,35.4011,https://www.gem.wiki/Kesses_2_solar_farm
,Solar Energy,Kesses solar farm,,Uasin Gishu County,operating,40,,Alten Energías Renovables,0.4304,35.4032,https://www.gem.wiki/Kesses_solar_farm
,Solar Energy,Kisumu solar farm,,Kisumu County,construction,40,,Ergon Solair,-0.1971,34.7779,https://www.gem.wiki/Kisumu_solar_farm
,Solar Energy,Kitui solar farm,,Kitui County,cancelled - inferred 4 y,40,,Looop Inc,-1.5642,38.3728,https://www.gem.wiki/Kitui_solar_farm
,Solar Energy,Lamu Kensen solar farm,,Lamu County,shelved,40,,Kenya Solar Energy Ltd,-0.4699,39.6429,https://www.gem.wiki/Lamu_Kensen_solar_farm
,Solar Energy,Malindi solar farm,,Kilifi County,operating,40,,Globeleq Generation Ltd ; Africa Energy Development Corp,-3.2009,39.7446,https://www.gem.wiki/Malindi_solar_farm
,Solar Energy,Nyeri solar farm,,Nyeri County,construction,40,,Kumar and Associates,-0.436,36.9656,https://www.gem.wiki/Nyeri_solar_farm
,Solar Energy,Radiant solar farm,,Uasin Gishu County,operating,40,,Selenkei Investment Ltd; Cedate Ltd; Frontier Investment Management ApS; Paramount Universal Bank,0.4211,35.3537,https://www.gem.wiki/Radiant_solar_farm
,Solar Energy,Rumuruti solar farm,,Laikipia County,cancelled - inferred 4 y,40,,Kenergy Renewable,0.2379,36.5492,https://www.gem.wiki/Rumuruti_solar_farm
,Solar Energy,Seven Forks solar farm,,Embu County,pre-construction,43,,Kenya Electricity Generating Company PLC,-0.5377,37.4584,https://www.gem.wiki/Seven_Forks_solar_farm
,Solar Energy,Siaya County solar farm,,Siaya County,shelved - inferred 2 y,40,,Xago Africa,-0.0604,34.2001,https://www.gem.wiki/Siaya_County_solar_farm
,Solar Energy,Voltalia Kopere solar farm,,Nandi County,pre-construction,40,,Voltalia SA,0.2254,35.1245,https://www.gem.wiki/Voltalia_Kopere_solar_farm
,Solar Energy,Mwale Mtc solar farm,,Kakanega County,operating,11,,Mcx Environmental Energy Corp,0.2597,34.5514,https://www.gem.wiki/Mwale_Mtc_solar_farm
,Solar Energy,Mwale Mtc solar farm,,Kakamega County,shelved - inferred 2 y,19,,Mcx Environmental Energy Corp,0.2597,34.5513,https://www.gem.wiki/Mwale_Mtc_solar_farm
,,,,,,,,,,,
Uganda,Geothermal,Buranga geothermal power plant,,Mongiro,Not Operational,100,Gids Consult,Gids Consult Ltd [100%],0.8332,30.1664,https://www.gem.wiki/Buranga_geothermal_power_plant
,Geothermal,Katwe geothermal power plant,,Kampala,Not Operational,200,AAE Systems,AAE Systems Inc [100%],-0.0804,29.9193,https://www.gem.wiki/Katwe_geothermal_power_plant
,HydroEnergy,Ayago hydroelectric plant,,Kiryandongo,pre-construction,840,,Uganda Electricity Generation Company LTD (UEGCL),2.3454,31.9369,https://www.gem.wiki/Ayago_hydroelectric_plant
,HydroEnergy,Bujagali hydroelectric plant,,Buikwe,operating,250,,,0.5015,33.1359,https://www.gem.wiki/Bujagali_hydroelectric_plant
,HydroEnergy,Isimba hydroelectric plant,,Kayunga,operating,183,,Uganda Electricity Generation Company LTD (UEGCL) [100%],0.7714,33.0416,https://www.gem.wiki/Isimba_hydroelectric_plant
,HydroEnergy,Karuma hydroelectric plant,,Kiryandongo,operating,600,,Uganda Electricity Generation Company LTD (UEGCL) [100%],2.2484,32.2682,https://www.gem.wiki/Karuma_hydroelectric_plant
,HydroEnergy,Kiba hydroelectric plant,,Kiryandongo,pre-construction,400,,Uganda Electricity Generation Company LTD (UEGCL),2.3695,31.8328,https://www.gem.wiki/Kiba_hydroelectric_plant
,HydroEnergy,Kiira hydroelectric plant,,,operating,200,,Uganda Electricity Generation Company LTD (UEGCL) [100%],0.4503,33.1856,https://www.gem.wiki/Kiira_hydroelectric_plant
,HydroEnergy,Muzizi hydroelectric plant,,Kyenjojo,announced,48,,Uganda Electricity Generation Company LTD (UEGCL),0.8285,30.8311,https://www.gem.wiki/Muzizi_hydroelectric_plant
,HydroEnergy,Nalubaale hydroelectric plant,,Buikwe,operating,180,,Uganda Electricity Generation Company LTD (UEGCL) [100%],0.4435,33.1847,https://www.gem.wiki/Nalubaale_hydroelectric_plant
,HydroEnergy,Oriang hydroelectric plant,,Kiryandongo,announced,392,,Mota-Engil SGPS SA,2.2655,32.0827,https://www.gem.wiki/Oriang_hydroelectric_plant
,Wind Energy,Karamoja wind farm,,Karamoja,announced,120,,AMEA Power,2.6606,34.5689,https://www.gem.wiki/Karamoja_wind_farm
,Wind Energy,Rupa Wind Power Plant,,Rupa,cancelled - inferred 4 y,20,,Senok Wind Uganda Limited,2.5835,34.667,https://www.gem.wiki/Rupa_Wind_Power_Plant
,Wind Energy,Tororo wind farm,,Tororo,cancelled - inferred 4 y,20,,Xsabo Group,0.6843,34.1816,https://www.gem.wiki/Tororo_wind_farm
,Wind Energy,West Nile wind farm,,West Nile,announced,10,,AMEA Power,0.4258,33.2171,https://www.gem.wiki/West_Nile_wind_farm
,Solar Energy,Bukedea solar farm,,,announced,20,,TotalEnergies EP Uganda,1.348,34.0436,https://www.gem.wiki/Bukedea_solar_farm
,Solar Energy,Ceec solar farm,,Nakasongola,cancelled - inferred 4 y,250,,China ENERGY Engineering Corp Ltd,1.5334,32.2167,https://www.gem.wiki/Ceec_solar_farm
,Solar Energy,Ceec solar farm,,Nakasongola,cancelled - inferred 4 y,250,,China ENERGY Engineering Corp Ltd,1.5334,32.2167,https://www.gem.wiki/Ceec_solar_farm
,Solar Energy,Ergon Solair solar farm,,Nakasongola,cancelled - inferred 4 y,125,,Ergon Solair,1.5334,32.2167,https://www.gem.wiki/Ergon_Solair_solar_farm
,Solar Energy,Ergon Solair solar farm,,Nakasongola,cancelled - inferred 4 y,125,,Ergon Solair,1.5334,32.2167,https://www.gem.wiki/Ergon_Solair_solar_farm
,Solar Energy,Ergon Solair solar farm,,Nakasongola,cancelled - inferred 4 y,125,,Ergon Solair,1.5334,32.2167,https://www.gem.wiki/Ergon_Solair_solar_farm
,Solar Energy,Ergon Solair solar farm,,Nakasongola,cancelled - inferred 4 y,125,,Ergon Solair,1.5334,32.2167,https://www.gem.wiki/Ergon_Solair_solar_farm
,Solar Energy,Iganga solar farm,,,announced,20,,TotalEnergies EP Uganda,0.6116,33.4757,https://www.gem.wiki/Iganga_solar_farm
,Solar Energy,Ituka solar farm,,,announced,24,,,3.0668,30.931,https://www.gem.wiki/Ituka_solar_farm
,Solar Energy,Kabulasoke solar farm,,Gomba,operating,24,,Xsabo Group; Great Lakes Africa Energy (GLAE),0.1501,31.7951,https://www.gem.wiki/Kabulasoke_solar_farm
,Solar Energy,Kapeeka solar farm,,,announced,20,,TotalEnergies EP Uganda,0.6789,32.2481,https://www.gem.wiki/Kapeeka_solar_farm
,Solar Energy,Kumi solar farm,,,announced,20,,TotalEnergies EP Uganda,1.4851,33.9348,https://www.gem.wiki/Kumi_solar_farm
,Solar Energy,Kween solar farm,,,announced,150,,Abu Dhabi Future Energy Co,1.492,34.5746,https://www.gem.wiki/Kween_solar_farm
,Solar Energy,Lira solar farm,,,pre-construction,50,,Xsabo Group,2.3555,32.927,https://www.gem.wiki/Lira_solar_farm
,Solar Energy,Namugoga Solar Power Station,,,announced,50,,Naanovo Energy Inc; Solar Energy for Africa,0.363,32.493,https://www.gem.wiki/Namugoga_Solar_Power_Station
,Solar Energy,Nkonge solar farm,,Mubende,operating,23,,Xsabo Group,0.6209,31.8287,https://www.gem.wiki/Nkonge_solar_farm
,Solar Energy,Paliisa solar farm,,,announced,20,,TotalEnergies EP Uganda,1.1691,33.7102,https://www.gem.wiki/Paliisa_solar_farm
,Solar Energy,Tororo solar farm,,,announced,20,,TotalEnergies EP Uganda,0.681,34.1865,https://www.gem.wiki/Tororo_solar_farm
,Solar Energy,Uganda (AMEA) solar farm,,,announced,25,,AMEA Power,0.9669,31.799,https://www.gem.wiki/Uganda_(AMEA)_solar_farm
,Solar Energy,Uganda (Masdar) solar farm,,,announced,150,,Abu Dhabi Future Energy Co,1.1207,31.6452,https://www.gem.wiki/Uganda_(Masdar)_solar_farm
,Solar Energy,Bufulubi solar project,,Mayuge,operating,8.7,,,0.4892,33.427,https://www.gem.wiki/Bufulubi_solar_project
,Solar Energy,Busia solar project,,Busia,operating,4,,,0.5505,34.0187,https://www.gem.wiki/Busia_solar_project
,Solar Energy,Gomba solar project,,Gomba,operating,10.9,,,0.1489,31.8204,https://www.gem.wiki/Gomba_solar_project
,Solar Energy,Kanoni solar project,,Gomba,operating,6.3,,,0.1564,31.8204,https://www.gem.wiki/Kanoni_solar_project
,Solar Energy,Lake Albert (Uganda) solar farm,,,announced,15,,TotalEnergies SE,1.3849,30.8983,https://www.gem.wiki/Lake_Albert_(Uganda)_solar_farm
,Solar Energy,Rakai solar project,,Rakai,operating,10.3,,,-0.4612,31.2076,https://www.gem.wiki/Rakai_solar_project
,Solar Energy,Soroti solar project,,Soroti,operating,8,,,1.6861,33.6577,https://www.gem.wiki/Soroti_solar_project
,Solar Energy,Tororo solar project I,,Tororo,operating,8,,,0.6314,34.111,https://www.gem.wiki/Tororo_solar_project_I
